t(s),h(m),v(m/s),Vw(m3)
0.2596,1.3414,9.0409,0.000152
0.2601,1.3464,9.0537,0.000151
0.2607,1.3513,9.0666,0.000151
0.2612,1.3563,9.0794,0.000150
0.2618,1.3613,9.0922,0.000150
0.2623,1.3663,9.1051,0.000149
0.2629,1.3713,9.1179,0.000149
0.2634,1.3764,9.1308,0.000148
0.2640,1.3814,9.1436,0.000148
0.2645,1.3865,9.1565,0.000147
0.2651,1.3915,9.1693,0.000147
0.2657,1.3966,9.1822,0.000146
0.2662,1.4017,9.1950,0.000146
0.2668,1.4069,9.2079,0.000145
0.2673,1.4120,9.2208,0.000145
0.2679,1.4171,9.2337,0.000144
0.2684,1.4223,9.2465,0.000144
0.2690,1.4275,9.2594,0.000143
0.2696,1.4327,9.2723,0.000143
0.2701,1.4379,9.2852,0.000142
0.2707,1.4431,9.2981,0.000142
0.2712,1.4483,9.3110,0.000141
0.2718,1.4536,9.3239,0.000141
0.2724,1.4589,9.3368,0.000140
0.2729,1.4641,9.3497,0.000140
0.2735,1.4694,9.3626,0.000139
0.2741,1.4747,9.3755,0.000139
0.2746,1.4801,9.3884,0.000138
0.2752,1.4854,9.4013,0.000138
0.2758,1.4908,9.4143,0.000137
0.2763,1.4961,9.4272,0.000137
0.2769,1.5015,9.4401,0.000136
0.2775,1.5069,9.4530,0.000136
0.2781,1.5123,9.4660,0.000135
0.2786,1.5178,9.4789,0.000135
0.2792,1.5232,9.4919,0.000134
0.2798,1.5287,9.5048,0.000134
0.2804,1.5342,9.5178,0.000133
0.2809,1.5397,9.5307,0.000133
0.2815,1.5452,9.5437,0.000132
0.2821,1.5507,9.5567,0.000132
0.2827,1.5562,9.5696,0.000131
0.2833,1.5618,9.5826,0.000131
0.2838,1.5674,9.5956,0.000130
0.2844,1.5730,9.6086,0.000130
0.2850,1.5786,9.6216,0.000129
0.2856,1.5842,9.6345,0.000129
0.2862,1.5898,9.6475,0.000128
0.2868,1.5955,9.6605,0.000128
0.2873,1.6012,9.6735,0.000127
0.2879,1.6069,9.6866,0.000127
0.2885,1.6126,9.6996,0.000126
0.2891,1.6183,9.7126,0.000126
0.2897,1.6240,9.7256,0.000125
0.2903,1.6298,9.7386,0.000125
0.2909,1.6355,9.7517,0.000124
0.2915,1.6413,9.7647,0.000124
0.2921,1.6471,9.7777,0.000123
0.2927,1.6529,9.7908,0.000123
0.2933,1.6588,9.8038,0.000122
0.2939,1.6646,9.8169,0.000122
0.2945,1.6705,9.8299,0.000121
0.2951,1.6764,9.8430,0.000121
0.2957,1.6823,9.8561,0.000120
0.2963,1.6882,9.8691,0.000120
0.2969,1.6942,9.8822,0.000119
0.2975,1.7001,9.8953,0.000119
0.2981,1.7061,9.9084,0.000118
0.2987,1.7121,9.9215,0.000118
0.2993,1.7181,9.9346,0.000117
0.2999,1.7241,9.9477,0.000117
0.3005,1.7302,9.9608,0.000116
0.3011,1.7362,9.9739,0.000116
0.3017,1.7423,9.9870,0.000115
0.3023,1.7484,10.0001,0.000115
0.3029,1.7545,10.0132,0.000114
0.3035,1.7606,10.0264,0.000114
0.3041,1.7668,10.0395,0.000113
0.3048,1.7729,10.0526,0.000113
0.3054,1.7791,10.0658,0.000112
0.3060,1.7853,10.0789,0.000112
0.3066,1.7915,10.0921,0.000111
0.3072,1.7978,10.1053,0.000111
0.3078,1.8040,10.1184,0.000110
0.3085,1.8103,10.1316,0.000110
0.3091,1.8166,10.1448,0.000109
0.3097,1.8229,10.1579,0.000109
0.3103,1.8293,10.1711,0.000108
0.3109,1.8356,10.1843,0.000108
0.3116,1.8420,10.1975,0.000107
0.3122,1.8484,10.2107,0.000107
0.3128,1.8548,10.2239,0.000106
0.3135,1.8612,10.2371,0.000106
0.3141,1.8676,10.2504,0.000105
0.3147,1.8741,10.2636,0.000105
0.3153,1.8806,10.2768,0.000104
0.3160,1.8871,10.2901,0.000104
0.3166,1.8936,10.3033,0.000103
0.3172,1.9001,10.3165,0.000103
0.3179,1.9067,10.3298,0.000102
0.3185,1.9133,10.3431,0.000102
0.3192,1.9198,10.3563,0.000101
0.3198,1.9265,10.3696,0.000101
0.3204,1.9331,10.3829,0.000100
0.3211,1.9398,10.3962,0.000100
0.3217,1.9464,10.4094,0.000099
0.3224,1.9531,10.4227,0.000099
0.3230,1.9598,10.4360,0.000098
0.3236,1.9666,10.4493,0.000098
0.3243,1.9733,10.4627,0.000097
0.3249,1.9801,10.4760,0.000097
0.3256,1.9869,10.4893,0.000096
0.3262,1.9937,10.5026,0.000096
0.3269,2.0005,10.5160,0.000095
0.3275,2.0074,10.5293,0.000095
0.3282,2.0143,10.5427,0.000094
0.3288,2.0212,10.5560,0.000094
0.3295,2.0281,10.5694,0.000093
0.3302,2.0350,10.5828,0.000093
0.3308,2.0420,10.5961,0.000092
0.3315,2.0490,10.6095,0.000092
0.3321,2.0560,10.6229,0.000091
0.3328,2.0630,10.6363,0.000091
0.3334,2.0700,10.6497,0.000090
0.3341,2.0771,10.6631,0.000090
0.3348,2.0842,10.6765,0.000089
0.3354,2.0913,10.6899,0.000089
0.3361,2.0984,10.7034,0.000088
0.3368,2.1056,10.7168,0.000088
0.3374,2.1127,10.7302,0.000087
0.3381,2.1199,10.7437,0.000087
0.3388,2.1271,10.7571,0.000086
0.3395,2.1344,10.7706,0.000086
0.3401,2.1416,10.7841,0.000085
0.3408,2.1489,10.7976,0.000085
0.3415,2.1562,10.8110,0.000084
0.3422,2.1635,10.8245,0.000084
0.3428,2.1709,10.8380,0.000083
0.3435,2.1783,10.8515,0.000083
0.3442,2.1857,10.8650,0.000082
0.3449,2.1931,10.8786,0.000082
0.3456,2.2005,10.8921,0.000081
0.3462,2.2080,10.9056,0.000081
0.3469,2.2155,10.9192,0.000080
0.3476,2.2230,10.9327,0.000080
0.3483,2.2305,10.9463,0.000079
0.3490,2.2380,10.9598,0.000079
0.3497,2.2456,10.9734,0.000078
0.3504,2.2532,10.9870,0.000078
0.3511,2.2608,11.0006,0.000077
0.3518,2.2685,11.0142,0.000077
0.3525,2.2762,11.0278,0.000076
0.3532,2.2839,11.0414,0.000076
0.3539,2.2916,11.0550,0.000075
0.3546,2.2993,11.0686,0.000075
0.3553,2.3071,11.0822,0.000074
0.3560,2.3149,11.0959,0.000074
0.3567,2.3227,11.1095,0.000073
0.3574,2.3305,11.1232,0.000073
0.3581,2.3384,11.1368,0.000072
0.3588,2.3463,11.1505,0.000072
0.3595,2.3542,11.1642,0.000071
0.3602,2.3621,11.1779,0.000071
0.3609,2.3701,11.1916,0.000070
0.3616,2.3781,11.2053,0.000070
0.3623,2.3861,11.2190,0.000069
0.3631,2.3941,11.2327,0.000069
0.3638,2.4022,11.2465,0.000068
0.3645,2.4103,11.2602,0.000068
0.3652,2.4184,11.2739,0.000067
0.3659,2.4266,11.2877,0.000067
0.3667,2.4347,11.3015,0.000066
0.3674,2.4429,11.3152,0.000066
0.3681,2.4511,11.3290,0.000065
0.3688,2.4594,11.3428,0.000065
0.3696,2.4677,11.3566,0.000064
0.3703,2.4760,11.3704,0.000064
0.3710,2.4843,11.3842,0.000063
0.3718,2.4926,11.3980,0.000063
0.3725,2.5010,11.4119,0.000062
0.3732,2.5094,11.4257,0.000062
0.3740,2.5179,11.4396,0.000061
0.3747,2.5263,11.4534,0.000061
0.3755,2.5348,11.4673,0.000060
0.3762,2.5433,11.4812,0.000060
0.3769,2.5519,11.4951,0.000059
0.3777,2.5604,11.5090,0.000059
0.3784,2.5690,11.5229,0.000058
0.3792,2.5777,11.5368,0.000058
0.3799,2.5863,11.5507,0.000057
0.3807,2.5950,11.5646,0.000057
0.3814,2.6037,11.5786,0.000056
0.3822,2.6125,11.5925,0.000056
0.3830,2.6212,11.6065,0.000055
0.3837,2.6300,11.6205,0.000055
0.3845,2.6389,11.6345,0.000054
0.3852,2.6477,11.6485,0.000054
0.3860,2.6566,11.6625,0.000053
0.3868,2.6655,11.6765,0.000053
0.3875,2.6745,11.6905,0.000052
0.3883,2.6835,11.7045,0.000052
0.3891,2.6925,11.7186,0.000051
0.3898,2.7015,11.7326,0.000051
0.3906,2.7106,11.7467,0.000050
0.3914,2.7197,11.7608,0.000050
0.3921,2.7288,11.7748,0.000049
0.3929,2.7379,11.7889,0.000049
0.3937,2.7471,11.8030,0.000048
0.3945,2.7564,11.8172,0.000048
0.3953,2.7656,11.8313,0.000047
0.3961,2.7749,11.8454,0.000047
0.3968,2.7842,11.8596,0.000046
0.3976,2.7935,11.8737,0.000046
0.3984,2.8029,11.8879,0.000045
0.3992,2.8123,11.9021,0.000045
0.4000,2.8218,11.9163,0.000044
0.4008,2.8313,11.9305,0.000044
0.4016,2.8408,11.9447,0.000043
0.4024,2.8503,11.9589,0.000043
0.4032,2.8599,11.9731,0.000042
0.4040,2.8695,11.9874,0.000042
0.4048,2.8791,12.0016,0.000041
0.4056,2.8888,12.0159,0.000041
0.4064,2.8985,12.0302,0.000040
0.4072,2.9082,12.0445,0.000040
0.4080,2.9180,12.0588,0.000039
0.4088,2.9278,12.0731,0.000039
0.4097,2.9377,12.0874,0.000038
0.4105,2.9475,12.1017,0.000038
0.4113,2.9575,12.1161,0.000037
0.4121,2.9674,12.1304,0.000037
0.4129,2.9774,12.1448,0.000036
0.4138,2.9874,12.1592,0.000036
0.4146,2.9975,12.1736,0.000035
0.4154,3.0075,12.1880,0.000035
0.4162,3.0177,12.2024,0.000034
0.4171,3.0278,12.2169,0.000034
0.4179,3.0380,12.2313,0.000033
0.4187,3.0483,12.2458,0.000033
0.4196,3.0585,12.2602,0.000032
0.4204,3.0688,12.2747,0.000032
0.4213,3.0792,12.2892,0.000031
0.4221,3.0896,12.3037,0.000031
0.4230,3.1000,12.3182,0.000030
0.4238,3.1105,12.3327,0.000030
0.4247,3.1209,12.3473,0.000029
0.4255,3.1315,12.3619,0.000029
0.4264,3.1421,12.3764,0.000028
0.4272,3.1527,12.3910,0.000028
0.4281,3.1633,12.4056,0.000027
0.4289,3.1740,12.4202,0.000027
0.4298,3.1848,12.4348,0.000026
0.4307,3.1955,12.4495,0.000026
0.4315,3.2063,12.4641,0.000025
0.4324,3.2172,12.4788,0.000025
0.4333,3.2281,12.4935,0.000024
0.4342,3.2390,12.5081,0.000024
0.4350,3.2500,12.5228,0.000023
0.4359,3.2610,12.5376,0.000023
0.4368,3.2721,12.5523,0.000022
0.4377,3.2832,12.5670,0.000022
0.4386,3.2943,12.5818,0.000021
0.4395,3.3055,12.5966,0.000021
0.4403,3.3167,12.6114,0.000020
0.4412,3.3280,12.6262,0.000020
0.4421,3.3393,12.6410,0.000019
0.4430,3.3507,12.6558,0.000019
0.4439,3.3621,12.6706,0.000018
0.4448,3.3735,12.6855,0.000018
0.4457,3.3850,12.7004,0.000017
0.4466,3.3965,12.7153,0.000017
0.4476,3.4081,12.7302,0.000016
0.4485,3.4197,12.7451,0.000016
0.4494,3.4314,12.7600,0.000015
0.4503,3.4431,12.7750,0.000015
0.4512,3.4549,12.7899,0.000014
0.4521,3.4667,12.8049,0.000014
0.4531,3.4786,12.8199,0.000013
0.4540,3.4905,12.8349,0.000013
0.4549,3.5024,12.8499,0.000012
0.4559,3.5144,12.8650,0.000012
0.4568,3.5265,12.8800,0.000011
0.4577,3.5386,12.8951,0.000011
0.4587,3.5507,12.9102,0.000010
0.4596,3.5629,12.9253,0.000010
0.4606,3.5752,12.9404,0.000009
0.4615,3.5875,12.9555,0.000009
0.4625,3.5998,12.9707,0.000008
0.4634,3.6122,12.9858,0.000008
0.4644,3.6247,13.0010,0.000007
0.4653,3.6372,13.0162,0.000007
0.4663,3.6497,13.0314,0.000006
0.4673,3.6623,13.0466,0.000006
0.4682,3.6750,13.0619,0.000005
0.4692,3.6877,13.0771,0.000005
0.4702,3.7005,13.0924,0.000004
0.4712,3.7133,13.1077,0.000004
0.4722,3.7262,13.1230,0.000003
0.4731,3.7391,13.1384,0.000003
0.4741,3.7521,13.1537,0.000002
0.4751,3.7651,13.1691,0.000002
0.4761,3.7782,13.1845,0.000001
0.4771,3.7914,13.1999,0.000001
0.4781,3.8046,13.2153,0.000000
0.4791,3.8179,13.2266,0.000000
0.4891,3.9497,13.1338,0.000000
0.4991,4.0806,13.0410,0.000000
0.5091,4.2105,12.9480,0.000000
0.5191,4.3395,12.8550,0.000000
0.5291,4.4676,12.7619,0.000000
0.5391,4.5948,12.6688,0.000000
0.5491,4.7210,12.5756,0.000000
0.5591,4.8463,12.4823,0.000000
0.5691,4.9706,12.3889,0.000000
0.5791,5.0941,12.2955,0.000000
0.5891,5.2165,12.2020,0.000000
0.5991,5.3381,12.1084,0.000000
0.6091,5.4587,12.0148,0.000000
0.6191,5.5784,11.9210,0.000000
0.6291,5.6971,11.8273,0.000000
0.6391,5.8149,11.7334,0.000000
0.6491,5.9318,11.6395,0.000000
0.6591,6.0477,11.5455,0.000000
0.6691,6.1627,11.4515,0.000000
0.6791,6.2768,11.3573,0.000000
0.6891,6.3899,11.2632,0.000000
0.6991,6.5020,11.1689,0.000000
0.7091,6.6132,11.0746,0.000000
0.7191,6.7235,10.9802,0.000000
0.7291,6.8328,10.8858,0.000000
0.7391,6.9412,10.7913,0.000000
0.7491,7.0487,10.6967,0.000000
0.7591,7.1552,10.6021,0.000000
0.7691,7.2607,10.5074,0.000000
0.7791,7.3653,10.4127,0.000000
0.7891,7.4690,10.3179,0.000000
0.7991,7.5717,10.2230,0.000000
0.8091,7.6734,10.1281,0.000000
0.8191,7.7742,10.0331,0.000000
0.8291,7.8741,9.9380,0.000000
0.8391,7.9730,9.8429,0.000000
0.8491,8.0709,9.7478,0.000000
0.8591,8.1679,9.6525,0.000000
0.8691,8.2640,9.5573,0.000000
0.8791,8.3591,9.4619,0.000000
0.8891,8.4532,9.3665,0.000000
0.8991,8.5464,9.2711,0.000000
0.9091,8.6386,9.1756,0.000000
0.9191,8.7299,9.0801,0.000000
0.9291,8.8202,8.9845,0.000000
0.9391,8.9096,8.8888,0.000000
0.9491,8.9980,8.7931,0.000000
0.9591,9.0855,8.6973,0.000000
0.9691,9.1720,8.6015,0.000000
0.9791,9.2575,8.5057,0.000000
0.9891,9.3421,8.4098,0.000000
0.9991,9.4257,8.3138,0.000000
1.0091,9.5084,8.2178,0.000000
1.0191,9.5901,8.1217,0.000000
1.0291,9.6708,8.0256,0.000000
1.0391,9.7506,7.9295,0.000000
1.0491,9.8294,7.8333,0.000000
1.0591,9.9072,7.7370,0.000000
1.0691,9.9841,7.6408,0.000000
1.0791,10.0600,7.5444,0.000000
1.0891,10.1350,7.4480,0.000000
1.0991,10.2090,7.3516,0.000000
1.1091,10.2820,7.2552,0.000000
1.1191,10.3541,7.1586,0.000000
1.1291,10.4252,7.0621,0.000000
1.1391,10.4954,6.9655,0.000000
1.1491,10.5645,6.8689,0.000000
1.1591,10.6327,6.7722,0.000000
1.1691,10.7000,6.6755,0.000000
1.1791,10.7662,6.5787,0.000000
1.1891,10.8315,6.4819,0.000000
1.1991,10.8959,6.3851,0.000000
1.2091,10.9592,6.2882,0.000000
1.2191,11.0216,6.1913,0.000000
1.2291,11.0831,6.0944,0.000000
1.2391,11.1435,5.9974,0.000000
1.2491,11.2030,5.9004,0.000000
1.2591,11.2615,5.8033,0.000000
1.2691,11.3191,5.7062,0.000000
1.2791,11.3757,5.6091,0.000000
1.2891,11.4313,5.5120,0.000000
1.2991,11.4859,5.4148,0.000000
1.3091,11.5396,5.3176,0.000000
1.3191,11.5923,5.2203,0.000000
1.3291,11.6440,5.1230,0.000000
1.3391,11.6947,5.0257,0.000000
1.3491,11.7445,4.9284,0.000000
1.3591,11.7933,4.8310,0.000000
1.3691,11.8411,4.7336,0.000000
1.3791,11.8880,4.6362,0.000000
1.3891,11.9338,4.5387,0.000000
1.3991,11.9787,4.4412,0.000000
1.4091,12.0227,4.3437,0.000000
1.4191,12.0656,4.2462,0.000000
1.4291,12.1076,4.1486,0.000000
1.4391,12.1486,4.0510,0.000000
1.4491,12.1886,3.9534,0.000000
1.4591,12.2276,3.8558,0.000000
1.4691,12.2657,3.7581,0.000000
1.4791,12.3028,3.6605,0.000000
1.4891,12.3389,3.5628,0.000000
1.4991,12.3741,3.4650,0.000000
1.5091,12.4082,3.3673,0.000000
1.5191,12.4414,3.2695,0.000000
1.5291,12.4736,3.1718,0.000000
1.5391,12.5048,3.0740,0.000000
1.5491,12.5351,2.9761,0.000000
1.5591,12.5644,2.8783,0.000000
1.5691,12.5927,2.7804,0.000000
1.5791,12.6200,2.6826,0.000000
1.5891,12.6463,2.5847,0.000000
1.5991,12.6717,2.4868,0.000000
1.6091,12.6960,2.3889,0.000000
1.6191,12.7194,2.2909,0.000000
1.6291,12.7419,2.1930,0.000000
1.6391,12.7633,2.0950,0.000000
1.6491,12.7838,1.9971,0.000000
1.6591,12.8032,1.8991,0.000000
1.6691,12.8217,1.8011,0.000000
1.6791,12.8393,1.7031,0.000000
1.6891,12.8558,1.6051,0.000000
1.6991,12.8714,1.5070,0.000000
1.7091,12.8859,1.4090,0.000000
1.7191,12.8995,1.3110,0.000000
1.7291,12.9122,1.2129,0.000000
1.7391,12.9238,1.1148,0.000000
1.7491,12.9345,1.0168,0.000000
1.7591,12.9441,0.9187,0.000000
1.7691,12.9528,0.8206,0.000000
1.7791,12.9606,0.7225,0.000000
1.7891,12.9673,0.6245,0.000000
1.7991,12.9730,0.5264,0.000000
1.8091,12.9778,0.4283,0.000000
1.8191,12.9816,0.3302,0.000000
1.8291,12.9844,0.2321,0.000000
1.8391,12.9862,0.1340,0.000000
1.8491,12.9871,0.0359,0.000000
1.8591,12.9870,-0.0622,0.000000
1.8691,12.9859,-0.1603,0.000000
1.8791,12.9838,-0.2584,0.000000
1.8891,12.9807,-0.3565,0.000000
1.8991,12.9766,-0.4546,0.000000
1.9091,12.9716,-0.5527,0.000000
1.9191,12.9656,-0.6508,0.000000
1.9291,12.9586,-0.7490,0.000000
1.9391,12.9506,-0.8471,0.000000
1.9491,12.9416,-0.9452,0.000000
1.9591,12.9317,-1.0433,0.000000
1.9691,12.9208,-1.1415,0.000000
1.9791,12.9089,-1.2396,0.000000
1.9891,12.8960,-1.3378,0.000000
1.9991,12.8821,-1.4359,0.000000
2.0091,12.8673,-1.5341,0.000000
2.0191,12.8514,-1.6323,0.000000
2.0291,12.8346,-1.7305,0.000000
2.0391,12.8168,-1.8286,0.000000
2.0491,12.7980,-1.9269,0.000000
2.0591,12.7783,-2.0251,0.000000
2.0691,12.7575,-2.1233,0.000000
2.0791,12.7358,-2.2216,0.000000
2.0891,12.7131,-2.3198,0.000000
2.0991,12.6894,-2.4181,0.000000
2.1091,12.6647,-2.5164,0.000000
2.1191,12.6391,-2.6147,0.000000
2.1291,12.6125,-2.7130,0.000000
2.1391,12.5848,-2.8113,0.000000
2.1491,12.5562,-2.9097,0.000000
2.1591,12.5266,-3.0080,0.000000
2.1691,12.4961,-3.1064,0.000000
2.1791,12.4645,-3.2048,0.000000
2.1891,12.4320,-3.3033,0.000000
2.1991,12.3984,-3.4017,0.000000
2.2091,12.3639,-3.5002,0.000000
2.2191,12.3284,-3.5987,0.000000
2.2291,12.2920,-3.6972,0.000000
2.2391,12.2545,-3.7957,0.000000
2.2491,12.2160,-3.8942,0.000000
2.2591,12.1766,-3.9928,0.000000
2.2691,12.1362,-4.0914,0.000000
2.2791,12.0948,-4.1900,0.000000
2.2891,12.0524,-4.2887,0.000000
2.2991,12.0090,-4.3874,0.000000
2.3091,11.9646,-4.4861,0.000000
2.3191,11.9193,-4.5848,0.000000
2.3291,11.8729,-4.6836,0.000000
2.3391,11.8256,-4.7823,0.000000
2.3491,11.7773,-4.8812,0.000000
2.3591,11.7280,-4.9800,0.000000
2.3691,11.6777,-5.0789,0.000000
2.3791,11.6264,-5.1778,0.000000
2.3891,11.5741,-5.2767,0.000000
2.3991,11.5209,-5.3757,0.000000
2.4091,11.4666,-5.4747,0.000000
2.4191,11.4114,-5.5737,0.000000
2.4291,11.3552,-5.6728,0.000000
2.4391,11.2979,-5.7719,0.000000
2.4491,11.2397,-5.8710,0.000000
2.4591,11.1805,-5.9702,0.000000
2.4691,11.1203,-6.0694,0.000000
2.4791,11.0591,-6.1687,0.000000
2.4891,10.9969,-6.2680,0.000000
2.4991,10.9338,-6.3673,0.000000
2.5091,10.8696,-6.4666,0.000000
2.5191,10.8044,-6.5660,0.000000
2.5291,10.7383,-6.6655,0.000000
2.5391,10.6711,-6.7650,0.000000
2.5491,10.6030,-6.8645,0.000000
2.5591,10.5338,-6.9640,0.000000
2.5691,10.4637,-7.0636,0.000000
2.5791,10.3926,-7.1633,0.000000
2.5891,10.3204,-7.2630,0.000000
2.5991,10.2473,-7.3627,0.000000
2.6091,10.1732,-7.4625,0.000000
2.6191,10.0980,-7.5623,0.000000
2.6291,10.0219,-7.6622,0.000000
2.6391,9.9448,-7.7621,0.000000
2.6491,9.8667,-7.8621,0.000000
2.6591,9.7876,-7.9621,0.000000
2.6691,9.7074,-8.0622,0.000000
2.6791,9.6263,-8.1623,0.000000
2.6891,9.5442,-8.2625,0.000000
2.6991,9.4611,-8.3627,0.000000
2.7091,9.3769,-8.4630,0.000000
2.7191,9.2918,-8.5633,0.000000
2.7291,9.2057,-8.6636,0.000000
2.7391,9.1185,-8.7641,0.000000
2.7491,9.0304,-8.8646,0.000000
2.7591,8.9412,-8.9651,0.000000
2.7691,8.8511,-9.0657,0.000000
2.7791,8.7599,-9.1663,0.000000
2.7891,8.6678,-9.2670,0.000000
2.7991,8.5746,-9.3678,0.000000
2.8091,8.4804,-9.4686,0.000000
2.8191,8.3852,-9.5695,0.000000
2.8291,8.2890,-9.6704,0.000000
2.8391,8.1918,-9.7714,0.000000
2.8491,8.0936,-9.8725,0.000000
2.8591,7.9944,-9.9736,0.000000
2.8691,7.8941,-10.0747,0.000000
2.8791,7.7929,-10.1760,0.000000
2.8891,7.6906,-10.2773,0.000000
2.8991,7.5873,-10.3787,0.000000
2.9091,7.4830,-10.4801,0.000000
2.9191,7.3777,-10.5816,0.000000
2.9291,7.2714,-10.6831,0.000000
2.9391,7.1641,-10.7848,0.000000
2.9491,7.0557,-10.8865,0.000000
2.9591,6.9463,-10.9882,0.000000
2.9691,6.8359,-11.0901,0.000000
2.9791,6.7245,-11.1920,0.000000
2.9891,6.6121,-11.2939,0.000000
2.9991,6.4986,-11.3960,0.000000
3.0091,6.3842,-11.4981,0.000000
3.0191,6.2687,-11.6003,0.000000
3.0291,6.1522,-11.7025,0.000000
3.0391,6.0346,-11.8049,0.000000
3.0491,5.9161,-11.9073,0.000000
3.0591,5.7965,-12.0097,0.000000
3.0691,5.6759,-12.1123,0.000000
3.0791,5.5542,-12.2149,0.000000
3.0891,5.4316,-12.3176,0.000000
3.0991,5.3079,-12.4204,0.000000
3.1091,5.1832,-12.5233,0.000000
3.1191,5.0574,-12.6262,0.000000
3.1291,4.9306,-12.7293,0.000000
3.1391,4.8028,-12.8324,0.000000
3.1491,4.6740,-12.9355,0.000000
3.1591,4.5441,-13.0388,0.000000
3.1691,4.4132,-13.1422,0.000000
3.1791,4.2813,-13.2456,0.000000
3.1891,4.1483,-13.3491,0.000000
3.1991,4.0143,-13.4527,0.000000
3.2091,3.8793,-13.5564,0.000000
3.2191,3.7432,-13.6602,0.000000
3.2291,3.6060,-13.7640,0.000000
3.2391,3.4679,-13.8680,0.000000
3.2491,3.3287,-13.9720,0.000000
3.2591,3.1884,-14.0761,0.000000
3.2691,3.0472,-14.1803,0.000000
3.2791,2.9048,-14.2846,0.000000
3.2891,2.7615,-14.3890,0.000000
3.2991,2.6171,-14.4935,0.000000
3.3091,2.4716,-14.5981,0.000000
3.3191,2.3251,-14.7028,0.000000
3.3291,2.1775,-14.8075,0.000000
3.3391,2.0289,-14.9124,0.000000
3.3491,1.8793,-15.0174,0.000000
3.3591,1.7286,-15.1224,0.000000
3.3691,1.5768,-15.2276,0.000000
3.3791,1.4240,-15.3328,0.000000
3.3891,1.2702,-15.4382,0.000000
3.3991,1.1153,-15.5436,0.000000
3.4091,0.9593,-15.6492,0.000000
3.4191,0.8023,-15.7548,0.000000
3.4291,0.6442,-15.8606,0.000000
3.4391,0.4851,-15.9664,0.000000
3.4491,0.3249,-16.0724,0.000000
3.4591,0.1636,-16.1784,0.000000
3.4691,0.0013,-16.2846,0.000000
3.4791,0.0000,-16.3909,0.000000
